GID_nmbr,iso3,Country,Subnat,slope,geometry,Year,GDP_per_Capita_EUR,Region (Country)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2000,2239.098046103992, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2001,2341.2975419842574, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2002,2271.444014497073, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2003,2289.6816349740225, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2004,2170.965048850482, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2005,2241.1626823844017, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2006,2288.9934228805528, (Kosovo)
211.0,KSV,Kosovo,,0.01145,"MULTIPOLYGON (((20.666666666666657 43.25, 20.833333333333314 43.25, 20.833333333333314 43.16666666666667, 20.916666666666657 43.16666666666667, 20.916666666666657 43.083333333333336, 21.166666666666657 43.083333333333336, 21.166666666666657 43, 21.25 43, 21.25 42.91666666666667, 21.333333333333314 42.91666666666667, 21.333333333333314 42.833333333333336, 21.416666666666657 42.833333333333336, 21.416666666666657 42.75, 21.583333333333314 42.75, 21.583333333333314 42.66666666666667, 21.75 42.66666666666667, 21.75 42.5, 21.666666666666657 42.5, 21.666666666666657 42.41666666666667, 21.583333333333314 42.41666666666667, 21.583333333333314 42.25, 21.416666666666657 42.25, 21.416666666666657 42.16666666666667, 21.333333333333314 42.16666666666667, 21.333333333333314 42.083333333333336, 21.166666666666657 42.083333333333336, 21.166666666666657 42.16666666666667, 20.916666666666657 42.16666666666667, 20.916666666666657 42.083333333333336, 20.75 42.083333333333336, 20.75 41.833333333333336, 20.583333333333314 41.833333333333336, 20.583333333333314 42.16666666666667, 20.5 42.16666666666667, 20.5 42.25, 20.416666666666657 42.25, 20.416666666666657 42.333333333333336, 20.25 42.333333333333336, 20.25 42.41666666666667, 20.166666666666657 42.41666666666667, 20.166666666666657 42.5, 20.083333333333314 42.5, 20.083333333333314 42.66666666666667, 20 42.66666666666667, 20 42.75, 20.25 42.75, 20.25 42.833333333333336, 20.5 42.833333333333336, 20.5 43, 20.666666666666657 43, 20.666666666666657 43.083333333333336, 20.583333333333314 43.083333333333336, 20.583333333333314 43.16666666666667, 20.666666666666657 43.16666666666667, 20.666666666666657 43.25)))",2007,2444.8734620514624, (Kosovo)
,KSV,Kosovo,,,,2008,2057.0, (Kosovo)
,KSV,Kosovo,,,,2009,2066.0, (Kosovo)
,KSV,Kosovo,,,,2010,2271.0, (Kosovo)
,KSV,Kosovo,,,,2011,2528.0, (Kosovo)
,KSV,Kosovo,,,,2012,2655.0, (Kosovo)
,KSV,Kosovo,,,,2013,2794.0, (Kosovo)
,KSV,Kosovo,,,,2014,2950.0, (Kosovo)
,KSV,Kosovo,,,,2015,3202.0, (Kosovo)
,KSV,Kosovo,,,,2016,3368.0, (Kosovo)
,KSV,Kosovo,,,,2017,3534.0, (Kosovo)
,KSV,Kosovo,,,,2018,3715.0, (Kosovo)
,KSV,Kosovo,,,,2019,3959.0, (Kosovo)
,KSV,Kosovo,,,,2020,3772.0, (Kosovo)
,KSV,Kosovo,,,,2021,4486.0, (Kosovo)
,KSV,Kosovo,,,,2022,5048.0, (Kosovo)
